media, bias, youtubeChannel, viewCount, subscribersCount, videoCount, type, observation
jones report, conspiracy, https://www.youtube.com/channel/UCvsye7V9psc-APX6wV1twLg, 1592865456, 2415735, 35736, conspiracy,
natural cures, conspiracy, https://www.youtube.com/channel/UC_gcEbkXOt8j7NUoxulEaTA, 208489549, 1831150, 599, pseudoscience, Not the same channel, but it's still pseudoscience
prison planet, conspiracy, https://www.youtube.com/channel/UCittVh8imKanO_5KohzDbpg, 303450132, 1297331, 647, conspiracy, Paul Joseph Watson
dr. axe, conspiracy, https://www.youtube.com/channel/UCgtp61tf9tYF7nG_gIQ94LQ, 107707730, 1278166, 697, pseudoscience,
freedomain radio, conspiracy, https://www.youtube.com/channel/UCC3L8QaxqEGUiBC252GHy3w, 248919884, 803090, 2977, conspiracy, Stefan Molyneux is the owner of freedomain radio (such as alex jones and infowars)
freedomain radio, conspiracy, https://www.youtube.com/channel/UCFHyoiRW5Ya5HJc9laaoUfA, ?, ?, 55, conspiracy, Added manually by me
we are change, conspiracy, https://www.youtube.com/channel/UChwwoeOZ3EJPobW83dgQfAg, 111931731, 522759, 1810, conspiracy,
storm clouds gathering, conspiracy, https://www.youtube.com/channel/UCEHsSWvrGVSIA63OV3J6vhA, 43134716, 513752, 127, conspiracy,
alternative media television (amtv), conspiracy, https://www.youtube.com/channel/UChD-zWutIego-bcHKOatFWA, 14263685, 507554, 205, conspiracy,
david icke, conspiracy, https://www.youtube.com/channel/UCAhmDfQ1LfOYECmNNWgXJ7Q, 64683290, 469807, 650, conspiracy,
nutritionfacts.org, conspiracy, https://www.youtube.com/channel/UCddn8dUxYdgJz3Qr5mjADtA, 84260143, 380384, 1564, pseudoscience,
ihealthtube, conspiracy, https://www.youtube.com/channel/UCA2W3T-G5egtVxBBdumQxHQ, 62023492, 302513, 3345, pseudoscience,
mercola, conspiracy, https://www.youtube.com/channel/UCxscQY7X0mtnaCbkGTjZ17g, 86738585, 272995, 2156, pseudoscience,
the corbett report, conspiracy, https://www.youtube.com/channel/UC7TvL4GlQyMBLlUsTrN_C4Q, 54654332, 265106, 1439, conspiracy
thrive movement, conspiracy, https://www.youtube.com/channel/UCMffZS4_Fp-e-xG1u1IXoNg, 37710578, 205265, 304, pseudoscience,
x22 report, conspiracy, https://www.youtube.com/channel/UCB1o7_gbFp2PLsamWxFenBg, 64051401, 190604, 2390, conspiracy,
press for truth, conspiracy, https://www.youtube.com/channel/UCMOWB-s0Kek9o9sS8xA_kZQ, 24278737, 176152, 1249, conspiracy
usawatchdog.com, conspiracy, https://www.youtube.com/channel/UCG-G8LLr38fQUNZU8K0t-EA, 56316294, 157215, 983, conspiracy, Greg Hunter is the owner
vigilant citizen, conspiracy, https://www.youtube.com/channel/UCnCUOl0k7asaZyNtl68EasA, 23679281, 149846, 210, conspiracy,
global healing center, conspiracy, https://www.youtube.com/channel/UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262, pseudoscience,
