media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
louder with crowder, right, https://www.youtube.com/channel/UCIveFvW-ARp_B_RckhweNJw, 467760962, 2305836, 726
fox news, right, https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA, 993343789, 1462912, 51302
the rebel, right, https://www.youtube.com/channel/UCGy6uV7yqGWDeUWTZzT3ZEg, 339691633, 965137, 8876
the daily wire, right, https://www.youtube.com/channel/UCaeO5vkdj5xOQHp4UmIN6dw, 149812936, 801941, 2101
next news network, right, https://www.youtube.com/channel/UCLoNQH9RCndfUGOb2f7E1Ew, 664891337, 656744, 18527
pj media, right, https://www.youtube.com/channel/UCWq53_f3zgMcWuE-XFKSpyQ, 89288322, 228538, 3390
trt world, right, https://www.youtube.com/channel/UC7fWeaHhqgM4Ry-RMpM2YYw, 86374858, 224268, 28651
national rifle association (nra), right, https://www.youtube.com/channel/UCZr49eSL2aHQ_41476IrkbA, 72793264, 161652, 4291
project veritas, right, https://www.youtube.com/channel/UCL9PlYkRD3Q-RZca6CCnPKw, 34486328, 161431, 348
american enterprise institute, right, https://www.youtube.com/channel/UCt8lRYpzb-sSrKFb4DT2ECw, 22426888, 152773, 2812
one america news network, right, https://www.youtube.com/channel/UCNbIDJNNgaRrXOD7VllIMRQ, 24533834, 150210, 4382
ron paul liberty report, right, https://www.youtube.com/channel/UCkJ1N-7g9Q6n7KnriGit-Ig, 13484649, 140110, 952
daily mail, right, https://www.youtube.com/channel/UCw3fku0sH3qA3c3pZeJwdAw, 89527584, 125691, 29496
judicial watch, right, https://www.youtube.com/channel/UCGDaOZg2INC0Qg2Z203F1dA, 15594470, 111491, 1026
